address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Rod. Antônio Heil, 4999","4,3",Serviço de logística, (47) 3341-5000 · ,http://www.multilog.com.br/,Multilog,199,,True,True,https://www.facebook.com/multilog.multilog/,
"Rua Armando de Amorim, nº 50, 101","4,6",Despachante, (47) 98425-6969 · ,https://ronecomex.com.br/,R-One Comex e Logistica Ltda,200,,False,False,,
"R. Camboriú, 590","4,9",Serviço de agenciamento de carga, (47) 3249-4000 · ,http://www.dclogisticsbrasil.com/,DC Logistics Brasil,201,,True,True,https://www.facebook.com/dclogisticsbrasil/,https://www.instagram.com/dclogisticsbrasil/
"R. 1101, 60","5,0",Empresa de importação e exportação, (47) 3360-1441 · ,,Trends Import Exportação,202,,,,,
"Av. Min. Victor Konder, 1030","5,0",Empresa de Auditoria, (47) 3158-3000 · ,http://www.gestoracontabilidade.com.br/,Gestora Contabilidade,203,,False,False,,
"Rua 1926, 449","5,0",Empresa de importação e exportação, (47) 3360-0396 · ,,ICAP-Indústria Comércio Catarinense Pescado Ltda,204,,,,,
"Av. Atlântica, 1530","5,0",Empresa de importação e exportação, (47) 3349-0584 · ,http://evolvogroup.com/,Evolvo International,205,,True,True,,
"Av. Cel. Marcos Konder, 1177 - sala 603","5,0",Serviço de logística, (47) 3404-7353 · ,https://www.wilsonsons.com.br/,Wilson Sons,206,,True,True,https://www.facebook.com/WilsonsonsBR,https://www.instagram.com/wilsonsons/
"R. Samuel Heusi, 463","5,0",Empresa de remessas, (47) 3319-4265 · ,http://www.procomexbrasil.com.br/en/entre-em-contato/,Procomex,207,,True,True,https://www.facebook.com/procomex.brasil,
"Rua Gil Stein Ferreira, 100","5,0",Empresa de remessas, (47) 3046-0123 · ,http://www.vendemmia.com.br/,Vendemmia Comércio Internacional,208,,False,True,http://www.facebook.com/VendemmiaBR,
"Rua 1500, 166","4,1",Empresa de importação e exportação, (47) 3056-6616 · ,,Konsultrade Consultoria e Com. Internacional Ltda,209,,,,,
"R. Jorge Tzaschel, 36 - S 401 An 5","5,0",Empresa de remessas, (47) 3247-7000 · ,https://www.litoralsfs.com.br/,Litoral Agência Marítima,210,,False,False,,
"R. São Paulo, 560 - Bloco 06","5,0",Empresa de importação e exportação, (47) 3050-2585 · ,http://www.dplimport.com.br/,Grupo Dpl Import,212,True,,,,
"SL 307 Ed. Cataluña Centro Balneário Camburiú 725, R. 901, 400","4,5",Empresa de importação e exportação, (47) 3056-8110 · ,http://www.prosperatrading.com.br/,Próspera Trading,213,,False,False,,
"R. Pasco Raimundo Vicente, 221","4,0",Serviço de logística, (47) 3366-0155 · ,http://www.multilog.com.br/,Multilog,214,,True,True,https://www.facebook.com/multilog.multilog/,
"R. Florianópolis, 277","4,2",Importadora, (47) 98864-3483 · ,http://www.satori.com.br/,Satori Importação & Exportação,215,,True,True,https://www.facebook.com/Satori-ImportaÃ§Ã£o-e-ExportaÃ§Ã£o-Ltda-379920762357388/,https://www.instagram.com/satori_imp_exp/
"Rua 1.822, 400, Salas 901 e 902","5,0",Empresa de importação e exportação, (47) 3341-1222 · ,http://www.greenimport.com.br/,GREEN IMPORT,216,,True,False,,https://www.instagram.com/green.import/
nº 577 Rua 1500,"4,1",Empresa de remessas, (47) 3065-0577 · ,http://www.wsenergy.com.br/contato/,WSEnergy Importação Exportação Comércio,217,True,,,,
"R. Blumenau, 5","4,2",Estaleiro, (47) 3341-8000 · ,http://www.portoitajai.com.br/,Porto de Itajaí,218,,False,False,,
"Av. Cel. Eugênio Muller, 300","3,9",Empresa de operação portuária, (47) 3341-9800 · ,http://www.apmterminals.com.br/,APM Terminals Itajaí,219,True,,,,
"Office 2300, 3ª Avenida, 1145 - Sala 62","5,0",Empresa de importação e exportação, (47) 3268-1250 · ,http://www.caravandobrasil.com.br/,Caravan do Brasil,220,,True,True,https://www.facebook.com/caravandobrasil/,https://www.instagram.com/caravandobrasil/
"Ed. Torre Azul – 9º Andar, Rua Gil Stein Ferreira, 100","4,6",Empresa de transporte rodoviário, (47) 3404-4000 · ,http://www.nelsonheusi.com/,Nelson Heusi Logística e Armazéns Gerais,221,,True,True,https://www.facebook.com/gruponelsonheusi,https://www.instagram.com/gruponelsonheusi/
"R. José Pereira Liberato, n. 1710","4,9",Empresa de remessas, (47) 99683-1461 · ,http://www.gladport.com.br/faleconosco.htm,Gladport,222,,False,False,,
"Rua Izabel Ramos Fabeni, n° 104","5,0",Empresa de importação e exportação, (47) 3344-1612 · ,,LABOR-MED APARELHAGEM DE PRECISÃO LTDA,223,,,,,
"Av. Gov. Adolfo Konder, 250","4,3",Logística, (47) 3341-2300 · ,http://www.brasfrigo.com.br/brasfrigo/,Brasfrigo,224,True,,,,
