address,classification,details,fone,link,name,position
"       R. Dr. João Augusto Barbosa, 275 - São Braz, União da Vitória - PR, 84600-000      ",,Loja de roupas para bebês,       (41) 98525-0116      ,       facebook.com      ,TUY&GOmodainfantil,17
"       Av. Interventor Manoel Ribas, 38 - Centro, União da Vitória - PR, 84600-000      ","4,2",Loja de departamento,       (42) 2130-5970      ,       pernambucanas.com.br      ,Pernambucanas,18
"       R. Visc. de Guarapuava, 230 - Centro, União da Vitória - SC, 89400-000      ","5,0",Loja de Roupa,       (42) 99131-4963      ,       instagram.com      ,Muzi Estilo Casual,19
"       R. Profa. Amazília, 689 - Centro, União da Vitória - PR, 84600-285      ","5,0",Loja de Roupa,       (42) 99128-2223      ,       instagram.com      ,Closet Moda Unissex,20
"       Av. Paula Freitas - Sagrada Família, União da Vitória - PR, 84600-000      ",,Loja de Roupa,,,Happy Moda Jovem,1
"       Av. Getúlio Vargas, 202 - Centro, União da Vitória - PR, 84600-170      ","4,5",Loja de móveis,       (42) 3522-3235      ,       casasestrela.com.br      ,Casas Estrela,2
"       R. Sete de Setembro, 55 - Cidade Nova, Porto União - SC, 89400-000      ","4,2",Loja de Roupa,       (42) 3522-9766      ,,Lojão do Queima,3
"       Av. Interventor Manoel Ribas, 134 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja de moda masculina,       (42) 3522-4989      ,,Magazin Jacobs,4
"       Av. Interventor Manoel Ribas, 25 - Centro, União da Vitória - PR, 84600-282      ","3,9",Loja de Roupa,       (42) 3522-2949      ,,Casa 2 Irmãos,5
"       R. Benjamin Constant, 55 - Centro, União da Vitória - PR, 84600-000      ",,Loja de Roupa,       (42) 99932-2894      ,       dac-modas.ueniweb.com      ,Dac modas,6
"       R. Carlos Cavalcante - São Bernardo, União da Vitória - PR, 84600-000      ","4,0",Loja de Roupa,,,Cravo e Canela,7
"       RUA Prudente DE Morais, 516, QSQ 01 - Centro, União da Vitória - PR, 84600-000      ","4,5",Loja de produtos de beleza,       (42) 3522-7100      ,       boticario.com.br      ,O Boticário,8
"       R. Profa. Amazília, 348 - Centro, União da Vitória - PR, 84600-000      ","4,7",Confecção,       (42) 3522-6280      ,,Dino's moda Esportiva,9
"       R. Prof. Cleto, 124 - Centro, União da Vitória - PR, 84600-000      ","4,0",Loja de moda feminina,       (42) 3522-8265      ,,Melize Mulher,10
"       Av. Abilon de Souza Naves, 1995 - Cidade Jardim, União da Vitória - PR, 84607-010      ",,Loja de Roupa,       (42) 98885-5030      ,,Claudia Confecções e Uniformes,11
"       R. Prudente de Morais, 750 - São Basílio Magno, União da Vitória - PR, 84600-490      ",,Loja de roupas esportivas,       (42) 99166-0020      ,,Limao Rosa Moda Fitness,12
"       R. Matos Costa, 14 - Centro, Porto União - SC, 89400-000      ",,Loja de Roupa,       (42) 3523-1665      ,,Lojas mr,13
"       R. Carlos Cavalcante, 270 - Centro, União da Vitória - PR, 84600-000      ",,Costureira,       (42) 3522-8348      ,,SOS Roupas,14
"       R. Cordovan, R. Frederico de Melo, 331 - Bento Munhoz da Rocha, União da Vitória - PR, 84607-605      ","5,0",Loja de Roupa,       (42) 99960-0660      ,,BRECHO IVA SYZ,15
"       R. Siqueira Campos, 136 - Centro, Porto União - SC, 89400-000      ","4,0",Loja de Roupa,       (42) 3522-2719      ,,A & B Departamento de Modas,16
,,Loja de moda feminina,       (42) 99810-8418      ,,Moda Na Sua Casa,17
"       R. Carlos Cavalcante, 133 - Centro, União da Vitória - PR, 84600-130      ","5,0",Loja de cosmético,       (42) 98403-0312      ,       instagram.com      ,Loja Natura Viva Bem,18
"       R. Prudente de Morais, 332 - Centro, Porto União - SC, 89400-000      ",,Loja de Roupa,,,Mimo do Bebê,19
"       Av. Interventor Manoel Ribas, 199 - Centro, União da Vitória - PR, 84600-288      ","5,0",Confecção,       (42) 98413-6194      ,,Cantinho da criança,20
"       R. Joaquim Távora, 1149 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja de vestidos de noiva,       (42) 98867-7552      ,       facebook.com      ,Ateliê Victoria Noivas,1
"       R. Prudente de Morais, 474 - Centro, Porto União - SC, 84600-000      ","3,5",Loja de Roupa,       (42) 3523-9910      ,,Sempre Nova Reforma de Roupas,2
"       R. Sete de Setembro, 87 - Centro, Porto União - SC, 89400-000      ","1,0",Loja de vestidos de noiva,       (42) 3524-3954      ,,Flash Moda Festa,3
"       R. Prudente de Morais, 117 - Centro, Porto União - SC, 89400-000      ",,Loja de Roupa,       (42) 99996-6162      ,       instagram.com      ,La Donna Boutique,4
"       R. Matos Costa, 563 - Centro, Porto União - SC, 89400-000      ",,Loja de vestidos,       (42) 99166-3500      ,,MA BELLE - Locação de Trajes de Festa,5
"       R. Prudente de Morais, 242 - Centro, Porto União - SC, 89400-000      ","5,0",Loja de Roupa,       3522-1015      ,,Clhoe Store,6
"       R. Matos Costa, 149 - Centro, Porto União - SC, 89400-000      ","4,7",Loja de roupas para jovens,       (42) 99870-8488      ,       facebook.com      ,Girl Store,7
"       R. Profa. Amazília, 165 - Centro, União da Vitória - PR, 84600-000      ","4,5",Loja de lingerie,       (42) 3522-7326      ,,Mania de Mulher,8
"       R. Prof. Cleto, 413 - Centro, União da Vitória - PR, 84600-000      ",,Loja de acessórios de moda,       (42) 99112-0205      ,       instagram.com      ,Vanessa Lima Bijoux,9
"       R. Profa. Amazília, 236 - Centro, União da Vitória - PR, 84600-000      ","5,0",Confecção,       (42) 3522-0656      ,       sincler-malhas.negocio.site      ,Sincler Malhas,10
"       R. Expedicionário Edmundo Arrabar, 1546 - Santa Rosa, Porto União - SC, 89400-000      ","4,5",Loja de Roupa,       (42) 3522-5910      ,,Loja Da Maria,11
,,Loja de Roupa,       (42) 3523-3028      ,,Pijamas For You,12
"       R. Dário Antônio Bordin, 202 - Centro, União da Vitória - PR, 84600-180      ","4,1",Confecção,       (42) 3524-8221      ,       uniformessilk.com.br      ,Malharia Silk Confecções e Uniformes,13
"       R. São Cristóvão, 20 - São Cristóvão, União da Vitória - PR, 84600-000      ",,Loja de Roupa,       (49) 98434-8483      ,       rode-confeccoes.ueniweb.com      ,Rode Confecções,14
"       R. Joaquim Távora, 1356 - Centro, União da Vitória - PR, 84600-000      ","4,2",Loja de artigos para festas,       (42) 3523-9346      ,,LOTUS Artigos para Festas,15
"       R. Cel. Belarmino, 248 - SALA 02 - Centro, Porto União - SC, 89400-000      ",,Loja de moda feminina,       (42) 98838-7466      ,       instagram.com      ,Feminina Modas,16
"       R. Dário Antônio Bordin, 279 - Centro, União da Vitória - PR, 84600-000      ",,Confecção,       (42) 99947-4430      ,       facebook.com      ,Rô Costuras,17
"       R. Cruz Machado, 77 - Centro, União da Vitória - PR, 84600-175      ",,Loja de lingerie,       (42) 3522-0890      ,       instagram.com      ,Que Bonita Lingeries e Acessórios,18
"       R. Cel. Amazonas, 745 - Centro, Porto União - SC, 89400-000      ","5,0",Loja de Roupa,       (42) 3577-0188      ,       facebook.com      ,Caru Mallon Sapatos e Acessórios,19
,,Loja de moda infantil,       (41) 98525-0116      ,,TUY&GOmodainfantil,20
"       Av. Getúlio Vargas, 186 - sala 1 - Centro, União da Vitória - PR, 84600-170      ",,Confecção,       (42) 3522-3485      ,       casasestrela.com.br      ,Estrela Outlet,1
,,Loja de moda masculina,       (42) 98865-6176      ,       malagutti-menswear.ueniweb.com      ,Malagutti Menswear,2
"       Lauro Muller, 152 - Cidade Nova, Porto União - SC, 89400-000      ",,Loja de roupas esportivas,,,FUN,3
,,Loja de roupas para jovens,       (47) 99787-5521      ,,MOL MALHAS.,4
"       R. Ipiranga, 108 - Centro, União da Vitória - PR, 84600-000      ",,Loja de camisetas personalizadas,       (42) 98868-2363      ,       mariapinha.ueniweb.com      ,Maria Pinha,5
"       R. Pedro Siqueira Cortez, 58 - Centro, União da Vitória - PR, 84600-000      ","4,7",Loja de produtos de beleza,       (42) 3524-5009      ,       boticario.com.br      ,O Boticário,6
"       R. Matos Costa, 33 - Centro, Porto União - SC, 89400-000      ",,Confecção,       (42) 3522-1523      ,,Loja Eve,7
"       R. Mal. Deodoro da Fonseca, 269 - Centro, União da Vitória - PR, 84010-030      ","4,6",Brechó,       (42) 98872-5655      ,,Brecho Das Meninas,8
,,Loja de lingerie,       (42) 98425-5995      ,,Nua Belle Lingerie,9
,,Loja de bicicleta,       (42) 99139-7233      ,       monbike.com.br      ,MonBike Store,10
