address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"R. Dr. José Bonifácio Malburg, 301 - sala 5","4,7",Empresa de advocacia, (47) 3246-1595 · ,https://www.facebook.com/sagazecoutoadvocacia?ref=aymt_homepage_panel,Soraya Sagaz Advocacia e Consultoria,255,,True,True,https://web.facebook.com/sagazecoutoadvocacia/posts,
"R. Uruguai, n 233 - SL 01","4,9",Advogado, (47) 99977-4436 · ,http://www.matheuspaulo.com.br/,Matheus Adriano Paulo & Advogados Associados,256,,False,True,,
"Av. Atlântica, 2554 - sala 5","4,8",Advogado previdenciário, (47) 3398-2131 · ,http://www.macohin.com/,Macohin Advogados Associados,257,,True,True,https://www.facebook.com/projetomacohin/,
"ed. Barra Norte - R. Arthur Max Doose, nº 153 - 1603","5,0",Escritório de advocacia, (47) 3081-1088 · ,http://www.grbadvocacia.com/,Guilherme R. Berndsen - Escritório de Advocacia & Assessoria Jurídica,258,,True,True,https://www.facebook.com/GRBadv,https://www.instagram.com/grbadvocacia/?hl=pt-br
"Secretário, R. José Juarez da Costa, 724","5,0",Escritório de advocacia, (47) 99102-5124 · ,https://advlucasdavilla.jusbrasil.com.br/,Lucas D'Avilla Advogados,259,,False,True,,
"R. Cesário Chaves, 160","5,0",Advogado, (47) 3348-6787 · ,,Dalton Melim,260,,,,,
"Rua 10, 55","4,5",Advogado, (47) 3367-2427 · ,,Advocacia,261,,,,,
"R. Nepal, 40","5,0",Advogado, (47) 3363-0530 · ,,Pedrassani Advogados,262,,,,,
"R. Alberto Werner, 726","4,8",Advogado Civil, (47) 98881-4466 · ,https://escritorio-de-advocacia-em-itajai.negocio.site/,Direito do Transito Itajaí - Dr. Júlio Custódio França,263,,False,False,,
"Av. Pref. José Juvenal Mafra, 1041","4,0",Advogado, (47) 3349-7986 · ,http://business.google.com/website/advocaciaconsultoriajuridica,Advocacia Consultoria Jurídica,264,,False,False,,
"Rua, Av. Getúlio Vargas, 162 - sala 06","5,0",Advogado, (47) 99958-4751 · ,http://maiconrodrigues.adv.br/,Dr. Maicon Rodrigues,267,,False,False,,
"R. Alberto Werner, 181 - Sala 2","4,0",Advogado, (47) 3348-2829 · ,,MMP,268,,,,,
"Condomínio Ed Torre Atlântica - Av. Atlântica, 400","4,5",Advogado, (47) 3264-6007 · ,,Advocacia Mariana Letícia Crocetti,269,,,,,
"Rua 1542, 715 - 38","4,9",Advogado, (47) 2033-0090 · ,http://vargasmildemberg.adv.br/,Vargas & Mildemberg,270,,False,True,https://www.facebook.com/vargasmildemberg,
"R. Arthur Max Doose, nº 183 - sl. 1201","5,0",Escritório de advocacia, (47) 2033-8727 · ,http://www.novakcapelari.adv.br/,Novak & Capelari Advocacia,271,,True,True,https://www.conjur.com.br/2018-set-10/entregar-internet-velocidade-abaixo-limite-gera-dano-moral?utm_source=dlvr.it&utm_medium=facebook,https://www.instagram.com/novakcapelariadvocacia/
"030, R. José Joaquim dos Santos, nº 49","5,0",Advogado, (47) 3344-2026 · ,http://pedroniegugelminadvogadas.com.br/,p&GG,272,,False,True,,
"R. Perciliana Gaya, 1407","4,8",Advogado, (47) 3065-9499 · ,,Cartell e Cotiela Advogados,274,,,,,
"Rua Miguel Matte, 129 - 06","5,0",Advogado, (47) 3046-0557 · ,http://fjassociados.adv.br/,fjassociados (advocacia empresarial),276,True,,,,
"R. Siqueira Campos, 343 - Centro","4,7",Escritório de advocacia, (47) 3246-1595 · ,,Sestrem & Gonçalves Advogados Associados,277,,,,,
"Rua 1500, 1920","4,9",Escritório de advocacia, (47) 3311-2399 · ,http://www.bittencourtadvocacia.com.br/,Ricardo Bittencourt & Advogados Associados - Unidade BC,278,,True,True,,
"R. Benjamin Franklin Pereira, 295","5,0",Assessoria contábil, (47) 3045-6710 · ,http://www.contabilpartner.com.br/,Contábil Partner,279,True,,,,
"R. 901, 400 - 705","5,0",Escritório de advocacia, (47) 3081-3524 · ,http://www.montroniadvogados.com.br/,Montroni Advogados Associados,280,True,,,,
"Rua 100, 37","5,0",Advogado, (47) 3367-1329 · ,,Advocacia Geraldo Henrique Kool,281,,,,,
"R. 1301, 471 - Sala 1301","4,8",Escritório de advocacia, (47) 3363-1502 · ,http://www.oenning.com.br/,Oenning Advocacia & Consultoria,282,True,,,,
"R. 600, 596","3,9",Escritório de advocacia, (47) 3246-2861 · ,http://www.joaomartins.com.br/,João José Martins Advogados Associados,283,,False,True,,
"Av. do Estado, 3550","5,0",Escritório de advocacia, (47) 3367-3204 · ,,RS Advogados Associados,284,,,,,
