address,classification,details,fone,link,name,position,has_instagram,has_facebook,link_problem,facebook_link,instagram_link
"Av. Getúlio Vargas, 14","5,0",Advogado, (42) 3522-9725 · ,,Advocacia Vanessa Viana Ribeiro,22,,,,,
"R. Prudente de Morais, 217","4,8",Escritório de advocacia, (42) 3522-1532 · ,,Escritorio Advocacia Luciano Ribas Passos,23,,,,,
"Praça Cel. Amazonas, 478","4,5",Advogado, (42) 3524-2587 · ,http://www.msrc.com.br/,Marafon Silva & Rosa Castilho Advogados Associados,24,False,False,,,
"R. Dom Pedro II, nº 445",,Advogado, (42) 99958-1512 · ,,Tracz Advocacia e Consultoria Jurídica,25,,,,,
"R. Matos Costa, 33 - 203","5,0",Escritório de advocacia, (42) 99956-2355 · ,http://www.laurianoleme.adv.br/,Lauriano Leme Advocacia (M L Advocacia),26,False,False,,,
R. Prudente de Morais,"5,0",Escritório de advocacia, (42) 3522-1532 · ,https://website-174862906105129848774-legalservices.negocio.site/,Escritório de Advocacia Dr. Ariovaldo Abilhôa Júnior,27,False,False,,,
"R. Bertholdo Hey, 52","5,0",Empresa de advocacia, (42) 3524-2198 · ,http://makiniskiadvocacia.com.br/,MAKINISKI ADVOCACIA,28,False,True,,https://www.facebook.com/makiniskiadvocacia/?ref=page_internal,
"Av. Getúlio Vargas, 153","1,0",Advogado, (42) 3523-2439 · ,,Hélio Bueno de Camargo Advocacia e Assessoria Jurídica,29,,,,,
"R. Ipiranga, 287","4,1",Empresa de advocacia, (42) 3523-2489 · ,,CLK Advocacia,30,,,,,
"R. Santos Dumont, 324",,Advogado, (42) 3522-0477 · ,,CCS Advocacia,31,,,,,
"R. Costa Carvalho, 1011","5,0",Empresa de advocacia, (42) 3523-6717 · ,,"Gugelmin & Advogados Associados, Assessoria e Consultoria Jurídica",32,,,,,
"R. Carlos Cavalcante, 254","5,0",Advogado processual, (42) 3522-7648 · ,,Lorena & Guerin Advogados Associados,33,,,,,
"R. Dom Pedro II, 445","5,0",Advogado criminal, (42) 98801-4538 · ,,Andrei Dambiski Advogado,34,,,,,
"R. Ivaldo Thomazi, 1441","5,0",Advogado de Direito de Família, (42) 99105-0567 · ,,ADVOGADO(A) MARILDA KOTARSKI,35,,,,,
"Edifício Executive Center - Av. Getúlio Vargas, 186 - 81","5,0",Empresa de advocacia, (42) 3522-4378 · ,http://www.ascadvocacia.com.br/,ASC Advocacia e Assessoria,36,True,True,,https://www.facebook.com/ascadvocacia10,https://www.instagram.com/ascadvocacia/
"R. Costa Carvalho, 484","5,0",Advogado, (42) 3523-2482 · ,,Advogado Márcio R. Metelski,37,,,,,
"Av. Interventor Manoel Ribas, 250","5,0",Advogado, (42) 3522-9903 · ,,Antônio Tavares Bueno,38,,,,,
"R. Mal. Deodoro, 1086 bairro","5,0",Advogado, (42) 99944-7747 · ,,Advocacia Ribas & Bueno,39,,,,,
"R. Santos Dumont, 317","4,0",Escritório de advocacia, (42) 3521-7441 · ,http://tkvadvogados.com.br/,TKV Advogados Associados,61,,,True,,
"Pc Cel Amazonas, 352","5,0",Advogado Civil, (42) 3523-1771 · ,,"Araújo, João M J C",62,,,,,
"R. Prudente de Morais, 551","4,8",Escritório de advocacia, (42) 3522-0709 · ,https://wagnerbleybonatoadv.negocio.site/,Wagner Luiz Bley Bonato - Advogado,63,False,False,,,
"R. Joaquim Távora, 1149","4,5",Escritório de advocacia, (42) 3522-4879 · ,,Câmara de Mediação e Arbitragem Flenik e Covalchuk,64,,,,,
"R. Barão do Rio Branco, 145","5,0",Advogado, (42) 98427-3380 · ,,Omar Cador Eddine,65,,,,,
"R. Dom Pedro II, 928","5,0",Escritório de contabilidade, (42) 3522-2145 · ,https://contabilidadeprimo.negocio.site/,Contabilidade e Advocacia Covalchuk & Bertolotte,66,False,False,,,
"R. Cel. João Gualberto, 432","5,0",Escritório de advocacia, (42) 3523-4614 · ,,Sarah Gabriela Sampaio Advocacia e Consultoria,67,,,,,
"R. Profa. Amazília, 472","5,0",Advogado criminal, (42) 99927-8637 · ,,Advocacia Moura Camargo,68,,,,,
"R. Voluntários da Pátria, nº 74","5,0",Escritório de advocacia, (42) 3522-3688 · ,http://smjuridico.com/,Stasiak & Makiak Advogados Associados,69,False,True,,,
"R. Voluntários da Pátria, 365","5,0",Advogado, (42) 3522-5468 · ,,Organização dos Advogados do Brasil,70,,,,,
