team_back,team_home,score,datetime
                Brazil,                Nigeria,                    0 - 0,2020-03-09 23:10:00
                Chile,                Brazil,                    1 - 1,2020-03-09 23:13:00
                Sweden,                Czech Republic,                    2 - 0,2020-03-09 23:16:00
                Poland,                Germany,                    1 - 0,2020-03-09 23:19:00
                Poland,                Sweden,                    2 - 1,2020-03-09 23:22:00
                France,                Spain,                    0 - 0,2020-03-09 23:25:00
                Uruguay,                Costa Rica,                    0 - 2,2020-03-09 23:40:00
                Japan,                Nigeria,                    0 - 1,2020-03-09 23:43:00
                Portugal,                Germany,                    1 - 0,2020-03-09 23:46:00
                Germany,                Czech Republic,                    0 - 0,2020-03-09 23:49:00
                Ukraine,                Italy,                    2 - 0,2020-03-09 23:52:00
                Holland,                Czech Republic,                    1 - 1,2020-03-09 23:55:00
                Sweden,                Poland,                    1 - 1,2020-03-09 23:58:00
                Croatia,                Spain,                    1 - 0,2020-03-10 00:01:00
                Colombia,                Croatia,                    0 - 1,2020-03-10 00:04:00
                Spain,                Poland,                    0 - 0,2020-03-10 00:07:00
                Holland,                France,                    1 - 0,2020-03-10 00:10:00
                France,                Ecuador,                    1 - 3,2020-03-10 00:13:00
                South Korea,                Australia,                    2 - 0,2020-03-10 00:16:00
                Japan,                Cameroon,                    1 - 1,2020-03-10 00:19:00
                Japan,                Switzerland,                    1 - 0,2020-03-10 00:22:00
                Ukraine,                Russia,                    0 - 1,2020-03-10 00:25:00
                Ecuador,                Costa Rica,                    3 - 1,2020-03-10 00:28:00
                Brazil,                Mexico,                    2 - 1,2020-03-10 00:31:00
                South Korea,                Germany,                    2 - 0,2020-03-10 00:34:00
                Holland,                Greece,                    1 - 2,2020-03-10 00:37:00
                Algeria,                Russia,                    1 - 0,2020-03-10 00:40:00
                Holland,                Japan,                    0 - 1,2020-03-10 00:43:00
                Portugal,                Ivory Coast,                    1 - 0,2020-03-10 00:46:00
                Cameroon,                USA,                    1 - 0,2020-03-10 00:49:00
                Republic of Ireland,                Czech Republic,                    3 - 1,2020-03-10 00:52:00
                Greece,                Holland,                    2 - 2,2020-03-10 00:55:00
                Greece,                Bosnia H,                    2 - 1,2020-03-10 00:58:00
                Nigeria,                Colombia,                    2 - 0,2020-03-10 01:01:00
                Russia,                Ukraine,                    0 - 1,2020-03-10 01:04:00
                Switzerland,                Algeria,                    0 - 1,2020-03-10 01:07:00
                Uruguay,                Algeria,                    2 - 1,2020-03-10 01:10:00
                Sweden,                Denmark,                    1 - 1,2020-03-10 01:13:00
                Croatia,                Holland,                    1 - 1,2020-03-10 01:16:00
                Greece,                England,                    2 - 0,2020-03-10 01:19:00
                Ivory Coast,                Greece,                    1 - 0,2020-03-10 01:22:00
                Holland,                Russia,                    0 - 1,2020-03-10 01:25:00
                Holland,                USA,                    2 - 0,2020-03-10 01:28:00
                Republic of Ireland,                Greece,                    2 - 0,2020-03-10 01:31:00
                England,                Czech Republic,                    0 - 0,2020-03-10 01:34:00
                France,                England,                    2 - 2,2020-03-10 01:37:00
                Algeria,                France,                    2 - 1,2020-03-10 01:40:00
                Japan,                England,                    0 - 1,2020-03-10 01:43:00
                Colombia,                Honduras,                    0 - 2,2020-03-10 01:46:00
                Bosnia H,                Italy,                    0 - 2,2020-03-10 01:49:00
                Croatia,                Czech Republic,                    0 - 0,2020-03-10 01:52:00
                Greece,                Spain,                    3 - 0,2020-03-10 01:55:00
                Honduras,                Argentina,                    1 - 0,2020-03-10 01:58:00
                Spain,                Republic of Ireland,                    1 - 1,2020-03-10 02:01:00
                Ecuador,                Croatia,                    0 - 1,2020-03-10 02:04:00
                France,                Spain,                    0 - 0,2020-03-10 02:07:00
                France,                Ghana,                    1 - 1,2020-03-10 02:10:00
                Japan,                Portugal,                    1 - 0,2020-03-10 02:13:00
                Ivory Coast,                Argentina,                    3 - 1,2020-03-10 02:16:00
                Poland,                Italy,                    1 - 0,2020-03-10 02:19:00
                Ukraine,                Poland,                    2 - 0,2020-03-10 02:22:00
                Czech Republic,                England,                    2 - 0,2020-03-10 02:25:00
                Czech Republic,                Spain,                    0 - 0,2020-03-10 02:28:00
                Nigeria,                Honduras,                    0 - 0,2020-03-10 02:31:00
                Bosnia H,                Brazil,                    2 - 0,2020-03-10 02:34:00
                Italy,                Denmark,                    0 - 1,2020-03-10 02:37:00
                Nigeria,                Chile,                    2 - 1,2020-03-10 02:40:00
                Croatia,                Belgium,                    2 - 0,2020-03-10 02:43:00
                Costa Rica,                Spain,                    2 - 0,2020-03-10 02:46:00
                Russia,                Bosnia H,                    0 - 1,2020-03-10 02:49:00
                Cameroon,                Iran,                    2 - 0,2020-03-10 02:52:00
                France,                Germany,                    1 - 0,2020-03-10 02:55:00
                Brazil,                Japan,                    0 - 1,2020-03-10 02:58:00
                Russia,                Germany,                    4 - 0,2020-03-10 03:01:00
                Argentina,                Germany,                    0 - 3,2020-03-10 03:04:00
                Algeria,                South Korea,                    1 - 1,2020-03-10 03:07:00
                Holland,                Portugal,                    1 - 0,2020-03-10 03:10:00
                Republic of Ireland,                Holland,                    4 - 0,2020-03-10 03:13:00
                Denmark,                Portugal,                    2 - 1,2020-03-10 03:16:00
                Ecuador,                Honduras,                    0 - 1,2020-03-10 03:19:00
                Russia,                Japan,                    0 - 2,2020-03-10 03:22:00
                England,                Republic of Ireland,                    0 - 2,2020-03-10 03:25:00
                Uruguay,                Belgium,                    2 - 2,2020-03-10 03:28:00
                Spain,                Czech Republic,                    1 - 1,2020-03-10 03:31:00
                Germany,                Croatia,                    0 - 1,2020-03-10 03:34:00
                Sweden,                Republic of Ireland,                    1 - 1,2020-03-10 03:37:00
                Nigeria,                Brazil,                    1 - 0,2020-03-10 03:40:00
                Colombia,                South Korea,                    2 - 1,2020-03-10 03:43:00
                Spain,                England,                    4 - 0,2020-03-10 03:46:00
                Spain,                France,                    3 - 1,2020-03-10 03:49:00
                Sweden,                France,                    0 - 1,2020-03-10 03:52:00
                Mexico,                Holland,                    2 - 1,2020-03-10 03:55:00
                Poland,                Spain,                    3 - 0,2020-03-10 03:58:00
                Algeria,                Germany,                    3 - 1,2020-03-10 04:01:00
                Chile,                Mexico,                    1 - 0,2020-03-10 04:04:00
                Holland,                Ukraine,                    2 - 1,2020-03-10 04:07:00
                Italy,                Republic of Ireland,                    0 - 2,2020-03-10 04:10:00
                Greece,                Portugal,                    0 - 2,2020-03-10 04:13:00
                Spain,                Russia,                    3 - 0,2020-03-10 04:16:00
                Greece,                Ivory Coast,                    1 - 1,2020-03-10 04:19:00
                Czech Republic,                Denmark,                    0 - 1,2020-03-10 04:22:00
                Iran,                Ivory Coast,                    1 - 0,2020-03-10 04:25:00
                England,                Russia,                    0 - 0,2020-03-10 04:28:00
                Germany,                Honduras,                    0 - 2,2020-03-10 04:31:00
                Germany,                Poland,                    1 - 1,2020-03-10 04:34:00
                Russia,                France,                    2 - 0,2020-03-10 04:37:00
                Costa Rica,                Nigeria,                    1 - 1,2020-03-10 04:40:00
                Colombia,                Belgium,                    1 - 1,2020-03-10 04:43:00
                Costa Rica,                Japan,                    2 - 0,2020-03-10 04:46:00
                Costa Rica,                USA,                    1 - 1,2020-03-10 04:49:00
                Argentina,                Nigeria,                    2 - 1,2020-03-10 04:52:00
                Croatia,                Switzerland,                    1 - 0,2020-03-10 04:55:00
                Greece,                France,                    1 - 1,2020-03-10 04:58:00
                Ivory Coast,                Belgium,                    1 - 0,2020-03-10 05:01:00
                Holland,                Spain,                    4 - 0,2020-03-10 05:04:00
                Czech Republic,                France,                    0 - 0,2020-03-10 05:07:00
                Czech Republic,                Poland,                    1 - 0,2020-03-10 05:10:00
                Poland,                Croatia,                    0 - 0,2020-03-10 05:13:00
                Costa Rica,                Argentina,                    2 - 0,2020-03-10 05:16:00
                Switzerland,                South Korea,                    2 - 2,2020-03-10 05:19:00
                Brazil,                Russia,                    2 - 1,2020-03-10 05:22:00
                Denmark,                Germany,                    0 - 1,2020-03-10 05:25:00
                Italy,                Spain,                    1 - 1,2020-03-10 05:28:00
                Portugal,                Spain,                    2 - 1,2020-03-10 05:31:00
                Ukraine,                Italy,                    1 - 1,2020-03-10 05:34:00
                Ukraine,                Greece,                    1 - 0,2020-03-10 05:37:00
                Ghana,                Iran,                    0 - 0,2020-03-10 05:40:00
                South Korea,                Ivory Coast,                    0 - 1,2020-03-10 05:43:00
                Greece,                Colombia,                    2 - 1,2020-03-10 05:46:00
                Ivory Coast,                Algeria,                    0 - 1,2020-03-10 05:49:00
                Sweden,                Poland,                    1 - 0,2020-03-10 05:52:00
                Germany,                France,                    0 - 2,2020-03-10 05:55:00
                Argentina,                Chile,                    2 - 1,2020-03-10 05:58:00
                Nigeria,                Belgium,                    1 - 3,2020-03-10 06:01:00
                Algeria,                Portugal,                    1 - 1,2020-03-10 06:04:00
                Mexico,                Italy,                    0 - 3,2020-03-10 06:07:00
                Republic of Ireland,                France,                    0 - 0,2020-03-10 06:10:00
                Russia,                Republic of Ireland,                    0 - 1,2020-03-10 06:13:00
                Russia,                Spain,                    2 - 0,2020-03-10 06:16:00
                Germany,                Denmark,                    0 - 1,2020-03-10 06:19:00
                Poland,                Ukraine,                    2 - 2,2020-03-10 06:22:00
                Portugal,                Holland,                    1 - 0,2020-03-10 06:25:00
                Republic of Ireland,                Russia,                    2 - 0,2020-03-10 06:28:00
                France,                Uruguay,                    3 - 1,2020-03-10 06:31:00
                Greece,                Brazil,                    1 - 0,2020-03-10 06:34:00
                Italy,                Poland,                    0 - 1,2020-03-10 06:37:00
                Bosnia H,                Japan,                    1 - 1,2020-03-10 06:40:00
                Portugal,                Belgium,                    2 - 1,2020-03-10 06:43:00
                Uruguay,                Greece,                    2 - 1,2020-03-10 06:46:00
                Ukraine,                Republic of Ireland,                    2 - 0,2020-03-10 06:49:00
                Belgium,                Ghana,                    2 - 1,2020-03-10 06:52:00
                Spain,                Russia,                    0 - 1,2020-03-10 06:55:00
                Portugal,                Holland,                    1 - 0,2020-03-10 06:58:00
                Sweden,                Spain,                    3 - 1,2020-03-10 07:01:00
                Brazil,                Cameroon,                    0 - 1,2020-03-10 07:04:00
                Brazil,                England,                    3 - 0,2020-03-10 07:07:00
                Ecuador,                Costa Rica,                    1 - 0,2020-03-10 07:10:00
                France,                Poland,                    3 - 1,2020-03-10 07:13:00
                Costa Rica,                Belgium,                    1 - 0,2020-03-10 07:16:00
                England,                Germany,                    3 - 1,2020-03-10 07:19:00
                Denmark,                France,                    3 - 1,2020-03-10 07:22:00
                Algeria,                Cameroon,                    1 - 0,2020-03-10 07:25:00
                Holland,                Sweden,                    1 - 1,2020-03-10 07:28:00
                Greece,                England,                    2 - 1,2020-03-10 07:31:00
                Croatia,                Italy,                    0 - 0,2020-03-10 07:34:00
                France,                Colombia,                    1 - 0,2020-03-10 07:37:00
                Belgium,                Cameroon,                    0 - 1,2020-03-10 07:40:00
                France,                Russia,                    1 - 1,2020-03-10 07:43:00
                Poland,                England,                    1 - 0,2020-03-10 07:46:00
                France,                England,                    0 - 1,2020-03-10 07:49:00
                Iran,                Switzerland,                    2 - 1,2020-03-10 07:52:00
                Brazil,                Spain,                    2 - 0,2020-03-10 07:55:00
                Republic of Ireland,                Spain,                    2 - 0,2020-03-10 07:58:00
                Portugal,                Sweden,                    1 - 0,2020-03-10 08:01:00
                Cameroon,                South Korea,                    2 - 1,2020-03-10 08:04:00
                Japan,                Spain,                    3 - 1,2020-03-10 08:07:00
                Russia,                Sweden,                    2 - 2,2020-03-10 08:10:00
                Holland,                Republic of Ireland,                    0 - 3,2020-03-10 08:13:00
                Nigeria,                Argentina,                    1 - 1,2020-03-10 08:16:00
                Croatia,                Germany,                    0 - 0,2020-03-10 08:19:00
                Portugal,                Cameroon,                    0 - 2,2020-03-10 08:22:00
                Greece,                France,                    2 - 1,2020-03-10 08:25:00
                Algeria,                Costa Rica,                    0 - 1,2020-03-10 08:28:00
                Croatia,                Greece,                    0 - 2,2020-03-10 08:31:00
                Iran,                Mexico,                    2 - 0,2020-03-10 08:34:00
                Greece,                Spain,                    1 - 1,2020-03-10 08:37:00
                Costa Rica,                Algeria,                    1 - 0,2020-03-10 08:40:00
                Italy,                Holland,                    1 - 1,2020-03-10 08:43:00
                Czech Republic,                Italy,                    2 - 1,2020-03-10 08:46:00
                England,                Holland,                    1 - 1,2020-03-10 08:49:00
                Ecuador,                Cameroon,                    0 - 3,2020-03-10 08:52:00
                Brazil,                Honduras,                    1 - 1,2020-03-10 08:55:00
                Switzerland,                Germany,                    2 - 1,2020-03-10 08:58:00
                Switzerland,                Cameroon,                    1 - 2,2020-03-10 09:01:00
                Colombia,                Australia,                    0 - 2,2020-03-10 09:04:00
                Germany,                France,                    3 - 1,2020-03-10 09:07:00
                Ukraine,                Holland,                    2 - 1,2020-03-10 09:10:00
                Holland,                Nigeria,                    1 - 1,2020-03-10 09:13:00
                Cameroon,                Ecuador,                    1 - 0,2020-03-10 09:16:00
                Colombia,                USA,                    1 - 1,2020-03-10 09:19:00
                Portugal,                France,                    1 - 2,2020-03-10 09:22:00
                Holland,                Brazil,                    1 - 2,2020-03-10 09:25:00
                England,                Denmark,                    0 - 3,2020-03-10 09:28:00
                Argentina,                Switzerland,                    1 - 1,2020-03-10 09:31:00
                Czech Republic,                Republic of Ireland,                    0 - 1,2020-03-10 09:34:00
                USA,                Ivory Coast,                    2 - 1,2020-03-10 09:37:00
                Czech Republic,                Greece,                    2 - 1,2020-03-10 09:40:00
                Russia,                Brazil,                    4 - 0,2020-03-10 09:43:00
                France,                Iran,                    1 - 1,2020-03-10 09:46:00
                Nigeria,                Brazil,                    3 - 0,2020-03-10 09:49:00
                USA,                Ecuador,                    1 - 0,2020-03-10 09:52:00
                Portugal,                Czech Republic,                    2 - 1,2020-03-10 09:55:00
                Argentina,                England,                    0 - 3,2020-03-10 09:58:00
                Bosnia H,                England,                    1 - 2,2020-03-10 10:01:00
                Russia,                Holland,                    1 - 3,2020-03-10 10:04:00
                Switzerland,                Bosnia H,                    2 - 1,2020-03-10 10:07:00
                Spain,                Croatia,                    1 - 0,2020-03-10 10:10:00
                Ghana,                Uruguay,                    2 - 0,2020-03-10 10:13:00
                Portugal,                Algeria,                    0 - 1,2020-03-10 10:16:00
                USA,                Nigeria,                    2 - 2,2020-03-10 10:19:00
                Ghana,                Mexico,                    0 - 2,2020-03-10 10:22:00
                South Korea,                Holland,                    3 - 1,2020-03-10 10:25:00
                Japan,                Iran,                    0 - 1,2020-03-10 10:28:00
                England,                Republic of Ireland,                    2 - 2,2020-03-10 10:31:00
                England,                Uruguay,                    2 - 0,2020-03-10 10:34:00
                Chile,                Holland,                    3 - 0,2020-03-10 10:37:00
                France,                Ukraine,                    2 - 0,2020-03-10 10:40:00
                Portugal,                Ivory Coast,                    1 - 0,2020-03-10 10:43:00
                Czech Republic,                Spain,                    2 - 0,2020-03-10 10:46:00
                South Korea,                Germany,                    3 - 1,2020-03-10 10:49:00
                Honduras,                Japan,                    2 - 0,2020-03-10 10:52:00
                Ghana,                Cameroon,                    0 - 1,2020-03-10 10:55:00
                Spain,                Ukraine,                    3 - 1,2020-03-10 10:58:00
                France,                Holland,                    0 - 1,2020-03-10 11:01:00
                Greece,                Spain,                    1 - 0,2020-03-10 11:04:00
                Brazil,                Australia,                    3 - 1,2020-03-10 11:07:00
                Costa Rica,                Australia,                    1 - 0,2020-03-10 11:10:00
                Russia,                Italy,                    3 - 0,2020-03-10 11:13:00
                Ecuador,                Honduras,                    2 - 1,2020-03-10 11:16:00
                Portugal,                Poland,                    2 - 1,2020-03-10 11:19:00
                Spain,                Portugal,                    1 - 2,2020-03-10 11:22:00
                Croatia,                Ukraine,                    2 - 2,2020-03-10 11:25:00
                Ghana,                Algeria,                    1 - 0,2020-03-10 11:28:00
                Holland,                Iran,                    1 - 1,2020-03-10 11:31:00
                Germany,                Czech Republic,                    1 - 1,2020-03-10 11:34:00
                Honduras,                Nigeria,                    3 - 0,2020-03-10 11:37:00
                Holland,                Greece,                    0 - 0,2020-03-10 11:40:00
                Bosnia H,                Italy,                    0 - 1,2020-03-10 11:43:00
                Italy,                Ukraine,                    0 - 1,2020-03-10 11:46:00
                Nigeria,                Ecuador,                    1 - 0,2020-03-10 11:49:00
                Switzerland,                Japan,                    1 - 1,2020-03-10 11:52:00
                Algeria,                France,                    0 - 1,2020-03-10 11:55:00
                Mexico,                Holland,                    1 - 1,2020-03-10 11:58:00
                South Korea,                Algeria,                    1 - 1,2020-03-10 12:01:00
                Holland,                Germany,                    3 - 0,2020-03-10 12:04:00
                Denmark,                Republic of Ireland,                    1 - 1,2020-03-10 12:07:00
                USA,                Uruguay,                    1 - 1,2020-03-10 12:10:00
                Australia,                Ivory Coast,                    2 - 2,2020-03-10 12:13:00
                South Korea,                Iran,                    1 - 1,2020-03-10 12:16:00
                Bosnia H,                USA,                    2 - 0,2020-03-10 12:19:00
                Brazil,                Ghana,                    0 - 0,2020-03-10 12:22:00
                Denmark,                Holland,                    0 - 0,2020-03-10 12:25:00
                Denmark,                Spain,                    3 - 0,2020-03-10 12:28:00
                South Korea,                USA,                    1 - 1,2020-03-10 12:31:00
                Russia,                Uruguay,                    1 - 0,2020-03-10 12:34:00
                Cameroon,                Ivory Coast,                    2 - 0,2020-03-10 12:37:00
                Bosnia H,                Iran,                    1 - 0,2020-03-10 12:40:00
                Czech Republic,                Holland,                    2 - 2,2020-03-10 12:43:00
                Republic of Ireland,                France,                    1 - 0,2020-03-10 12:46:00
                Japan,                Ivory Coast,                    4 - 0,2020-03-10 12:49:00
                France,                Republic of Ireland,                    2 - 0,2020-03-10 12:52:00
                Sweden,                Holland,                    0 - 1,2020-03-10 12:55:00
                France,                Germany,                    1 - 0,2020-03-10 12:58:00
                Denmark,                England,                    3 - 0,2020-03-10 13:01:00
                Spain,                France,                    1 - 0,2020-03-10 13:04:00
                Nigeria,                Honduras,                    0 - 0,2020-03-10 13:07:00
                Germany,                Nigeria,                    2 - 2,2020-03-10 13:10:00
                Holland,                Spain,                    0 - 2,2020-03-10 13:13:00
                Russia,                Germany,                    2 - 1,2020-03-10 13:16:00
                Ivory Coast,                Spain,                    1 - 2,2020-03-10 13:19:00
                Republic of Ireland,                Germany,                    0 - 0,2020-03-10 13:22:00
                Nigeria,                Cameroon,                    1 - 2,2020-03-10 13:25:00
                Germany,                Republic of Ireland,                    2 - 1,2020-03-10 13:28:00
                Honduras,                Spain,                    4 - 0,2020-03-10 13:31:00
                Ecuador,                Belgium,                    2 - 1,2020-03-10 13:34:00
                Italy,                Greece,                    1 - 0,2020-03-10 13:37:00
                Switzerland,                England,                    1 - 2,2020-03-10 13:40:00
                Republic of Ireland,                Russia,                    4 - 0,2020-03-10 13:43:00
                France,                USA,                    2 - 1,2020-03-10 13:46:00
                Ukraine,                Denmark,                    2 - 1,2020-03-10 13:49:00
                Iran,                Greece,                    1 - 0,2020-03-10 13:52:00
                Sweden,                Spain,                    3 - 0,2020-03-10 13:55:00
                Croatia,                Spain,                    0 - 2,2020-03-10 13:58:00
                Republic of Ireland,                Croatia,                    4 - 0,2020-03-10 14:01:00
                Spain,                Czech Republic,                    0 - 1,2020-03-10 14:04:00
                Croatia,                Portugal,                    1 - 0,2020-03-10 14:07:00
                Germany,                Ukraine,                    1 - 2,2020-03-10 14:10:00
                Spain,                Holland,                    1 - 1,2020-03-10 14:13:00
                Chile,                Germany,                    0 - 1,2020-03-10 14:16:00
                USA,                Belgium,                    2 - 0,2020-03-10 14:19:00
                Croatia,                Russia,                    1 - 3,2020-03-10 14:22:00
                Greece,                Portugal,                    2 - 0,2020-03-10 14:25:00
                Bosnia H,                Greece,                    1 - 1,2020-03-10 14:28:00
                Costa Rica,                Uruguay,                    2 - 2,2020-03-10 14:31:00
                Cameroon,                Portugal,                    1 - 0,2020-03-10 14:34:00
                Costa Rica,                Colombia,                    3 - 1,2020-03-10 14:37:00
                Sweden,                England,                    2 - 1,2020-03-10 14:40:00
                Italy,                Sweden,                    0 - 1,2020-03-10 14:43:00
                Spain,                Poland,                    0 - 3,2020-03-10 14:46:00
                Russia,                Ghana,                    0 - 2,2020-03-10 14:49:00
                Costa Rica,                Italy,                    1 - 1,2020-03-10 14:52:00
                Ukraine,                Republic of Ireland,                    0 - 1,2020-03-10 14:55:00
                Holland,                Republic of Ireland,                    1 - 1,2020-03-10 14:58:00
                Portugal,                Ukraine,                    0 - 3,2020-03-10 15:01:00
                Croatia,                Chile,                    3 - 0,2020-03-10 15:04:00
                Italy,                Germany,                    2 - 1,2020-03-10 15:07:00
                Italy,                Spain,                    2 - 2,2020-03-10 15:10:00
                Brazil,                Nigeria,                    2 - 2,2020-03-10 15:13:00
                South Korea,                France,                    1 - 0,2020-03-10 15:16:00
                Spain,                Denmark,                    3 - 1,2020-03-10 15:19:00
                Ecuador,                Ghana,                    2 - 0,2020-03-10 15:22:00
                USA,                Algeria,                    1 - 0,2020-03-10 15:25:00
                Spain,                Italy,                    1 - 1,2020-03-10 15:28:00
                Poland,                France,                    4 - 0,2020-03-10 15:31:00
                Italy,                Republic of Ireland,                    2 - 1,2020-03-10 15:34:00
                Bosnia H,                Belgium,                    2 - 2,2020-03-10 15:37:00
                Brazil,                Uruguay,                    1 - 1,2020-03-10 15:40:00
                Holland,                England,                    2 - 1,2020-03-10 15:43:00
                Chile,                Ecuador,                    1 - 1,2020-03-10 15:46:00
                Croatia,                Italy,                    2 - 0,2020-03-10 15:49:00
                France,                Sweden,                    1 - 1,2020-03-10 15:52:00
                Holland,                Spain,                    0 - 1,2020-03-10 15:55:00
                England,                Holland,                    1 - 2,2020-03-10 15:58:00
                Algeria,                Costa Rica,                    0 - 0,2020-03-10 16:01:00
                Portugal,                Spain,                    1 - 0,2020-03-10 16:04:00
                Russia,                Sweden,                    3 - 1,2020-03-10 16:07:00
                USA,                Colombia,                    2 - 0,2020-03-10 16:10:00
                Spain,                Russia,                    0 - 0,2020-03-10 16:13:00
                Chile,                Nigeria,                    2 - 1,2020-03-10 16:16:00
                Honduras,                Switzerland,                    2 - 1,2020-03-10 16:19:00
                Germany,                Holland,                    0 - 1,2020-03-10 16:22:00
                Australia,                Japan,                    2 - 0,2020-03-10 16:25:00
Holland,Algeria,0 - 2,2020-03-10 16:28:00
Mexico,Italy,0 - 1,2020-03-10 16:31:00
Czech Republic,Denmark,1 - 2,2020-03-10 16:34:00
Chile,Cameroon,4 - 0,2020-03-10 16:37:00
Russia,Czech Republic,0 - 0,2020-03-10 16:40:00
Germany,Sweden,2 - 1,2020-03-10 16:43:00
Portugal,South Korea,1 - 0,2020-03-10 16:46:00
Greece,South Korea,4 - 0,2020-03-10 16:49:00
Russia,Republic of Ireland,2 - 2,2020-03-10 16:52:00
Greece,Ukraine,2 - 0,2020-03-10 16:55:00
Ukraine,Greece,3 - 0,2020-03-10 16:58:00
England,Denmark,1 - 2,2020-03-10 17:01:00
Nigeria,Germany,1 - 1,2020-03-10 17:04:00
Japan,Argentina,1 - 1,2020-03-10 17:07:00
Germany,Russia,2 - 2,2020-03-10 17:10:00
Germany,Italy,2 - 0,2020-03-10 17:13:00
Australia,Germany,1 - 0,2020-03-10 17:16:00
Ukraine,Czech Republic,1 - 0,2020-03-10 17:19:00
Russia,Holland,1 - 2,2020-03-10 17:22:00
Greece,Denmark,0 - 0,2020-03-10 17:25:00
Portugal,Sweden,0 - 0,2020-03-10 17:28:00
Switzerland,Ecuador,1 - 1,2020-03-10 17:31:00
Portugal,Poland,0 - 1,2020-03-10 17:34:00
Brazil,England,0 - 1,2020-03-10 17:37:00
Croatia,Portugal,2 - 1,2020-03-10 17:40:00
Sweden,Portugal,1 - 0,2020-03-10 17:43:00
Portugal,Czech Republic,0 - 1,2020-03-10 17:46:00
France,Russia,1 - 1,2020-03-10 17:49:00
Holland,Switzerland,0 - 0,2020-03-10 17:52:00
Denmark,Croatia,2 - 1,2020-03-10 17:55:00
France,Denmark,2 - 1,2020-03-10 17:58:00
Sweden,Republic of Ireland,0 - 2,2020-03-10 18:01:00
Poland,Russia,2 - 0,2020-03-10 18:04:00
England,Sweden,0 - 2,2020-03-10 18:07:00
Chile,Russia,1 - 2,2020-03-10 18:10:00
Russia,Italy,1 - 1,2020-03-10 18:13:00
Chile,Algeria,0 - 0,2020-03-10 18:16:00
Ivory Coast,Argentina,2 - 0,2020-03-10 18:19:00
Australia,Argentina,1 - 2,2020-03-10 18:22:00
Sweden,Russia,1 - 1,2020-03-10 18:25:00
Ukraine,Sweden,0 - 1,2020-03-10 18:28:00
Republic of Ireland,Holland,0 - 0,2020-03-10 18:31:00
Holland,Denmark,1 - 1,2020-03-10 18:34:00
Poland,Czech Republic,1 - 1,2020-03-10 18:37:00
Bosnia H,Mexico,1 - 0,2020-03-10 18:40:00
Greece,Bosnia H,2 - 1,2020-03-10 18:43:00
Russia,Portugal,0 - 0,2020-03-10 18:46:00
Sweden,Greece,1 - 0,2020-03-10 18:49:00
Denmark,Sweden,2 - 1,2020-03-10 18:52:00
Iran,Mexico,1 - 1,2020-03-10 18:55:00
                Spain,                Croatia,                    1 - 2,2020-03-10 19:01:00
                Belgium,                Holland,                    1 - 2,2020-03-10 19:04:00
                Greece,                Czech Republic,                    0 - 0,2020-03-10 19:07:00
                Australia,                Japan,                    0 - 1,2020-03-10 19:10:00
                Croatia,                Ivory Coast,                    2 - 0,2020-03-10 19:13:00
                Nigeria,                Ivory Coast,                    3 - 0,2020-03-10 19:16:00
                Republic of Ireland,                Germany,                    1 - 1,2020-03-10 19:19:00
                Holland,                Portugal,                    3 - 1,2020-03-10 19:22:00
                Denmark,                Holland,                    3 - 1,2020-03-10 19:25:00
                Sweden,                Croatia,                    2 - 0,2020-03-10 19:28:00
                Poland,                Ukraine,                    2 - 0,2020-03-10 19:31:00
                Republic of Ireland,                Czech Republic,                    3 - 0,2020-03-10 19:34:00
                Denmark,                Portugal,                    2 - 0,2020-03-10 19:37:00
                Germany,                Ukraine,                    1 - 0,2020-03-10 19:40:00
                Sweden,                Italy,                    2 - 2,2020-03-10 19:43:00
                Chile,                Uruguay,                    1 - 0,2020-03-10 19:46:00
                Mexico,                Bosnia H,                    1 - 0,2020-03-10 19:49:00
                Costa Rica,                Spain,                    2 - 0,2020-03-10 19:52:00
                France,                South Korea,                    0 - 1,2020-03-10 19:55:00
                Denmark,                Germany,                    0 - 0,2020-03-10 19:58:00
                Russia,                Spain,                    0 - 1,2020-03-10 20:01:00
                Nigeria,                USA,                    0 - 2,2020-03-10 20:04:00
                Spain,                Italy,                    2 - 1,2020-03-10 20:07:00
                France,                Holland,                    2 - 2,2020-03-10 20:10:00
                France,                Greece,                    3 - 1,2020-03-10 20:13:00
                Poland,                Italy,                    1 - 1,2020-03-10 20:16:00
                Italy,                Poland,                    1 - 0,2020-03-10 20:19:00
                Iran,                Portugal,                    3 - 0,2020-03-10 20:22:00
                Greece,                Holland,                    1 - 0,2020-03-10 20:25:00
                Portugal,                Germany,                    1 - 2,2020-03-10 20:28:00
                Denmark,                Croatia,                    2 - 0,2020-03-10 20:31:00
                Iran,                Chile,                    2 - 0,2020-03-10 20:34:00
                Colombia,                Ghana,                    0 - 1,2020-03-10 20:37:00
                Germany,                Italy,                    3 - 0,2020-03-10 20:40:00
                Ghana,                Portugal,                    3 - 0,2020-03-10 20:43:00
                Ukraine,                Croatia,                    2 - 0,2020-03-10 20:46:00
                USA,                Croatia,                    1 - 1,2020-03-10 20:49:00
                England,                Spain,                    2 - 0,2020-03-10 20:52:00
                Holland,                Denmark,                    2 - 0,2020-03-10 20:55:00
                Spain,                Holland,                    1 - 1,2020-03-10 20:58:00
                France,                Italy,                    3 - 0,2020-03-10 21:01:00
                Italy,                Czech Republic,                    1 - 2,2020-03-10 21:04:00
                Russia,                France,                    1 - 1,2020-03-10 21:07:00
