team_back,team_home,score,datetime
Iran,South Korea,2 - 2,2020-01-31 17:16:00
Czech Republic,Republic of Ireland,1 - 2,2020-01-31 17:19:00
Germany,Holland,0 - 2,2020-01-31 17:22:00
Ukraine,Croatia,1 - 1,2020-01-31 17:25:00
England,Holland,0 - 3,2020-01-31 17:28:00
Mexico,Ecuador,2 - 2,2020-01-31 17:31:00
France,Sweden,1 - 1,2020-01-31 17:34:00
South Korea,Italy,1 - 0,2020-01-31 17:37:00
Portugal,Colombia,0 - 1,2020-01-31 17:40:00
Holland,Republic of Ireland,1 - 2,2020-01-31 17:43:00
Germany,Russia,1 - 3,2020-01-31 17:46:00
Russia,Italy,0 - 1,2020-01-31 17:49:00
Cameroon,Argentina,4 - 0,2020-01-31 17:52:00
Germany,Italy,0 - 1,2020-01-31 17:55:00
England,Ukraine,1 - 2,2020-01-31 17:58:00
Russia,Ukraine,0 - 1,2020-01-31 18:01:00
Portugal,England,0 - 2,2020-01-31 18:04:00
Sweden,Republic of Ireland,1 - 1,2020-01-31 18:07:00
Portugal,South Korea,0 - 2,2020-01-31 18:10:00
Croatia,Portugal,3 - 1,2020-01-31 18:13:00
Cameroon,Ecuador,0 - 0,2020-01-31 18:16:00
Japan,Iran,2 - 1,2020-01-31 18:19:00
Bosnia H,Brazil,4 - 0,2020-01-31 18:22:00
Czech Republic,Sweden,2 - 1,2020-01-31 18:25:00
Portugal,Poland,0 - 2,2020-01-31 18:28:00
Czech Republic,Italy,2 - 1,2020-01-31 18:31:00
Czech Republic,Portugal,0 - 2,2020-01-31 18:34:00
Germany,Czech Republic,2 - 1,2020-01-31 18:37:00
Mexico,Ghana,0 - 4,2020-01-31 18:40:00
Portugal,Ivory Coast,0 - 1,2020-01-31 18:43:00
Czech Republic,Denmark,0 - 2,2020-01-31 18:46:00
Sweden,Czech Republic,2 - 0,2020-01-31 18:49:00
Republic of Ireland,England,1 - 0,2020-01-31 18:52:00
Chile,Ghana,2 - 0,2020-01-31 18:55:00
                England,                France,                    1 - 1,2020-01-31 19:01:00
                Mexico,                Cameroon,                    0 - 1,2020-01-31 19:04:00
                Germany,                Spain,                    2 - 0,2020-01-31 19:07:00
                Greece,                Spain,                    2 - 0,2020-01-31 19:10:00
                Russia,                Spain,                    3 - 0,2020-01-31 19:13:00
                Iran,                Germany,                    2 - 0,2020-01-31 19:16:00
                Ukraine,                Greece,                    2 - 2,2020-01-31 19:19:00
                Sweden,                France,                    0 - 1,2020-01-31 19:22:00
                France,                Italy,                    1 - 2,2020-01-31 19:25:00
                Italy,                Holland,                    3 - 1,2020-01-31 19:28:00
                Denmark,                Portugal,                    2 - 1,2020-01-31 19:31:00
                Republic of Ireland,                Sweden,                    0 - 1,2020-01-31 19:34:00
                Croatia,                Greece,                    3 - 1,2020-01-31 19:37:00
                Italy,                Republic of Ireland,                    2 - 1,2020-01-31 19:40:00
                Greece,                Denmark,                    1 - 1,2020-01-31 19:43:00
                France,                Nigeria,                    1 - 1,2020-01-31 19:46:00
                Italy,                USA,                    2 - 0,2020-01-31 19:49:00
                Portugal,                England,                    2 - 1,2020-01-31 19:52:00
                South Korea,                England,                    2 - 1,2020-01-31 19:55:00
                England,                Greece,                    4 - 0,2020-01-31 19:58:00
                Greece,                Germany,                    3 - 1,2020-01-31 20:01:00
                Ghana,                Ivory Coast,                    2 - 1,2020-01-31 20:04:00
                Greece,                France,                    3 - 0,2020-01-31 20:07:00
                Italy,                Greece,                    0 - 1,2020-01-31 20:10:00
                Sweden,                Croatia,                    2 - 1,2020-01-31 20:13:00
                Sweden,                Poland,                    1 - 1,2020-01-31 20:16:00
                Ukraine,                France,                    3 - 0,2020-01-31 20:19:00
                Portugal,                Greece,                    1 - 0,2020-01-31 20:22:00
                Holland,                Russia,                    0 - 0,2020-01-31 20:25:00
                Holland,                Ukraine,                    3 - 0,2020-01-31 20:28:00
                Spain,                Czech Republic,                    0 - 0,2020-01-31 20:31:00
                Nigeria,                Honduras,                    1 - 1,2020-01-31 20:34:00
                Croatia,                Ghana,                    0 - 1,2020-01-31 20:37:00
                Portugal,                Croatia,                    0 - 1,2020-01-31 20:40:00
