address,classification,details,fone,link,name,position,has_instagram,has_facebook,link_problem,facebook_link,instagram_link
"       R. Cruz de Souza, n 124 - Centro, Porto União - SC, 89400-000      ","5,0",Salão de Beleza,,,Maiara Sidol Make Up,4,,,,,
"       Av. Interventor Manoel Ribas, 439 - Centro, União da Vitória - PR, 84600-280      ","4,5",Loja de Roupa,       (42) 3524-4993      ,       lojaodokeima.com.br      ,Lojão do Keima,5,,,True,,
"       Av. João Pessoa, 3016 - São Pedro, Porto União - SC, 89400-000      ","4,5",Loja de presentes,       (42) 99947-5047      ,,Jemar Presentes,6,,,,,
"       Av. Interventor Manoel Ribas, 493 - Centro, União da Vitória - PR, 84600-280      ","5,0",Salão de Beleza,       (42) 3577-0184      ,       facebook.com      ,Giseli Mendes Espaço de Beleza,7,True,True,,https://web.facebook.com/help/568137493302217,
"       R. Zacarias Góes Vasconcelos, 1483 - Navegantes, União da Vitória - PR, 84600-000      ","4,5",Salão de Beleza,       (42) 99997-1257      ,,Maria Lara Makeup,8,,,,,
"       R. Matos Costa, 46 - Centro, Porto União - SC, 89400-000      ","4,0",Farmácia,       (42) 3523-1377      ,,Farmácia Santa Terezinha,9,,,,,
"       São Pedro, Porto União - SC, 89400-000      ","1,5","Loja de R$ 1,99",,,"Loja Luiza 1,99",10,,,,,
"       R. Siqueira Campos, 136 - Centro, Porto União - SC, 89400-000      ","4,0",Loja de Roupa,       (42) 3522-2719      ,,A & B Departamento de Modas,11,,,,,
"       Av. João Pessoa, 1361 - Centro, Porto União - SC, 89400-000      ","5,0",Centro de saúde e beleza,       (42) 98809-3733      ,       instagram.com      ,Divina's Clínica De Estética Avançada,12,True,False,,,
"       Av. Interventor Manoel Ribas, 332 - Centro, União da Vitória - PR, 84600-000      ","4,1",Loja de Conveniência,       (42) 98888-0674      ,       americanas.com.br      ,Lojas Americanas,13,True,True,,https://www.facebook.com/AmericanasCom,https://www.instagram.com/americanascom
"       R. Joaquim Távora, 1356 - Centro, União da Vitória - PR, 84600-000      ","4,2",Loja de artigos para festas,       (42) 3523-9346      ,,LOTUS Artigos para Festas,14,,,,,
