address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Av. Osvaldo Reis, 3281 - sala 1309","5,0",Clínica de dermatologia, (47) 2125-2984 · ,http://www.dermathosclinica.com.br/,Dermathos Litoral,49,,True,True,http://www.facebook.com/dermathos,http://www.instagram.com/dermathos
"Av João Sacavém n° 571 Edifício Atlantis Trade Center, sala 403","4,9",Centro de saúde e beleza, (47) 99935-3276 · ,,Clinica de Estética Revitalize,50,,,,,
"R. José Tedeo, 544","5,0",Clínica de cirurgia plástica, (47) 3341-1973 · ,http://centroesteticoluciabassani.vitrinevirtual.net/,Centro Estético E Massoterapia Lúcia Bassani,52,,False,False,,
"R. Juvenal García, 509","5,0",Clínica de saúde mental, (47) 98802-2723 · ,https://www.instagram.com/recriar.esteticaeterapias/,ReCriar Estética e Terapias,53,,True,False,,
"Rua João Bauer, 540","4,5",Academia, (47) 3065-1200 · ,http://www.magrass.com.br/,Clinica Magrass Itajaí,54,,True,True,https://www.facebook.com/magrassoficial,https://www.instagram.com/magrassoficial
"R. Cônego Tomás Fontes, 480 - 2° Andar","5,0",Centro de saúde e beleza, (47) 3349-7673 · ,http://www.instagram.com.br/esteticagreycekellyestetica,Greyce Kelly Estética,55,True,,,,
"R. Arquiteto Nilson Edson dos Santos, 1188","5,0",Salão de Beleza, (47) 98439-4917 · ,,Estética & Hair Maristela,56,,,,,
"R. Olga Mussi Dietrich, 455","5,0",Clínica de Fisioterapia, (47) 3246-1426 · ,,Heliete Massoterapeuta,57,,,,,
"R. Samuel Heusi, 190 - sala 602","3,0",Clínica especializada, (47) 3021-3031 · ,https://www.facebook.com/essenciaclinicaterapeutica/,Essência Clínica Terapêutica,58,,True,True,https://web.facebook.com/essenciaclinicaterapeutica/services,
"Rua Gustavo Bernedt, 1114 - Sala 04","5,0",Centro de saúde e beleza, (47) 98409-8388 · ,https://www.esteticadanielle.com/,Estética Danielle,59,,True,True,https://www.facebook.com/esteticadanielle/,https://www.instagram.com/esteticadanielle/
