address,details,fone,link,name
Curitiba,Imobiliária,(41) 3322-4148,http://imoveiscercal.com.br/,CERCAL IMÓVEIS
"Alameda Cabral, Sobreloja) 510",Imobiliária,(41) 3323-2000,http://www.imobiliariamercasa.com.br/,Imobiliária Mercasa
"R. Francisco Derosso, 1693",Imobiliária,(41) 3275-6493,http://www.imobxaxim.com.br/,Imobiliária Xaxim
"Av. Brasília, 5030",Imobiliária,(41) 3344-5577,http://www.cortezeimoveis.com.br/,Corteze Imóveis
"Rua Visconde de Nácar, 1140",Imobiliária,(41) 3883-2100,http://www.cilar.com.br/,Imobiliária Cilar
"Av. Manoel Ribas, 5774",Imobiliária,(41) 3515-1589,/aclk?sa=l&ai=DChcSEwiY6t7h--3pAhXHBJEKHb4LCdkYABABGgJjZQ&sig=AOD64_25CF9JlZb6AtUEQOSUHJu6lMGpPA&adurl&q&ctype=99,Gonzaga Aluguel
"Av. Desembargador Hugo Simas, 752",Imobiliária,(41) 3336-0008,http://www.cilar.com.br/,Imobiliária Cilar - Vendas
"R. Paulo Gorski, 844 - 03",Imobiliária,(41) 3373-8888,http://invictta.com.br/,Invictta Consultoria Imobiliária
"R. Cel. Dulcídio, 2255",Imobiliária,(41) 3029-5000,http://www.imobiliariaideal.com/,Imobiliária Ideal
Fazenda Rio Grande,Imobiliária,(41) 3608-1010,http://www.cortezeimoveis.com.br/,Corteze Imóveis
"Alameda Dr. Carlos de Carvalho, 1941",Imobiliária,(41) 3323-3333,http://www.villageprime.com.br/,VILLAGE IMOBILIÁRIA PRIME
"R. Via Veneto, 1741",Imobiliária,(41) 3372-1000,http://www.pontomil.com.br/,Ponto Mil Imóveis
,Imobiliária,(41) 98850-2990,https://www.vendaimovel.com/,Imobiliária MD imóveis Curitiba Guaratuba
"Esquina com a - Rua Professor Ulisses Vieira, 645, R. Tamoios, 771",Imobiliária,(41) 99121-9982,http://www.imobiliariacwb.com.br/,Imoveis EM Curitiba
"R. Eduardo Sprada, 3936",Imobiliária,(41) 3015-2727,http://www.baggioimoveis.com.br/,Baggio Imóveis
"Alameda Princesa Izabel, 856",Imobiliária,(41) 99996-1121,http://www.axis21.com.br/,Axis 21 Imóveis
"R. Dr. Bley Zornig, 2120 - Loja 4",Imobiliária,(41) 3156-1111,http://www.imoveisribeiropires.com.br/,Imobiliária Ribeiro Pires
"R. Arion Niepce da Silva, 250",Corretora de aluguel de imóveis,(41) 3014-8008,http://www.toyoimoveis.com.br/,TOYO IMÓVEIS LTDA.
"Av. N. Sra. Aparecida, 48",Imobiliária,(41) 3322-0203,http://www.imobiliariatha.com.br/,Imobiliária Tha
"Av. Visc. de Guarapuava, 2764 - Sala 1201",Imobiliária,(41) 3387-0978,https://www.sbinvestimentos.com.br/,SB Investimentos Imobiliários
"R. Des. Westphalen, 15 - conj 303",Imobiliária,(41) 3322-5030,https://www.sochacaras.com.br/,Só Chácaras e Empreendimentos Imobiliários
"R. Padre Agostinho, 102",Imobiliária,(41) 3010-5040,http://www.imoveisagalli.com.br/,Imóveis Agalli
São José dos Pinhais,Imobiliária,(41) 3383-1111,http://www.cortezeimoveis.com.br/,Corteze Imóveis
"Av. Ver. Toaldo Túlio, 4323",Imobiliária,(41) 3372-6643,http://www.opolz.com.br/,Opolz Corretor de Imóveis
